x,y
-15.1335,47.5941
-10.464,46.2114
-8.16739,45.6612
-8.14202,50.1141
-7.06195,51.0064
-8.91615,50.2628
-9.29486,47.1398
-10.1225,46.8623
-10.0033,46.7083
-11.9787,45.9453
-8.49577,50.3321
-12.6818,51.994
-14.8323,54.0446
-11.8107,54.8879
-11.7711,54.54
-13.4339,55.9708
-16.5472,55.0168
-12.9547,51.9326
-5.95623,47.4448
-5.90022,47.4818
-4.45962,44.9134
-4.74455,47.0514
-4.36126,49.2702
-2.87652,49.1324
-5.20009,49.901
-5.32207,51.8255
-9.48227,45.3529
-11.725,43.2394
-15.1361,44.3145
-12.7197,44.1959
-19.4273,43.2059
-19.0183,43.7458
-19.079,44.5121
-19.074,44.4853
-14.1984,45.17
-19.0442,41.7588
-21.4045,42.2705
-22.2731,44.698
-21.1719,40.8824
-23.4917,41.5887
-25.4044,39.2375
-22.8182,34.3297
-22.4417,34.1546
-25.1401,35.4146
-26.8443,37.4731
-26.7153,37.4361
-25.3634,34.9356
-26.9264,30.2241
-33.4999,28.7186
-34.5553,32.7861
-35.4969,33.7094
-35.4921,34.1698
-35.9205,34.6432
-34.8903,29.1531
-34.7845,28.4841
-36.7263,29.7264
-38.1215,32.07
-38.7683,33.5255
-33.8049,34.1003
-30.6172,33.6462
-30.709,33.8375
-31.0545,35.0539
-32.0273,33.5709
-35.3033,35.3593
-32.8205,35.6126
-30.7524,35.234
-31.3627,39.8627
-33.0673,38.7407
-31.128,37.6888
-32.8475,37.1815
-33.9203,35.8494
-35.0485,33.0108
-35.6641,30.9548
-33.796,32.3741
-33.9787,33.1946
-34.0342,33.1298
-28.6435,33.5262
-24.8349,34.4772
-24.8041,32.9676
-24.6884,32.8019
-25.2093,29.8537
-28.5179,29.2268
-28.8812,28.7259
-29.2662,27.8964
-29.2299,27.7169
-26.8656,29.7726
-32.1029,25.0029
-31.5405,23.571
-30.8425,23.9444
-26.4331,24.991
-27.0257,25.2046
-27.7421,25.0313
-25.8771,24.5321
-22.5332,23.2558
-23.1004,22.5752
-22.1244,27.6017
-21.7532,26.5933
-20.5507,27.5574
-17.1533,31.8812
-16.927,31.6987
-14.1662,32.58
-17.9108,30.2122
-17.1164,30.9885
-17.7823,30.2793
-13.7197,25.3213
-15.5072,25.5537
-13.1066,25.6779
-13.5537,26.5611
-9.9842,25.5133
-11.3318,30.3729
-11.4235,27.065
-13.7345,25.3387
-13.6225,23.6561
-14.948,24.0643
-13.4505,26.5161
-11.2931,32.4483
-5.3419,42.5593
-5.75735,44.3569
-4.51454,41.2216
2.16009,49.1592
3.88603,43.817
-0.318374,43.6127
-0.0431251,43.241
5.03334,42.6099
6.01973,45.8876
6.32478,46.1964
3.40906,41.7223
3.42937,41.6661
1.64754,41.7902
2.05127,41.5034
-0.530405,43.7813
-3.35783,44.6038
-2.24612,43.7888
-2.20635,43.6536
-5.27784,36.8529
-2.31674,40.3945
2.04574,39.7357
-5.18635,47.6266
-4.99341,48.6685
-5.62004,47.5869
-8.42183,47.9927
-12.5139,46.4681
-12.2901,48.4033
-19.4621,49.3142
-16.9189,49.0349
-19.9089,49.5374
-21.4065,51.25
-25.6707,50.3919
-25.6705,50.7363
-29.867,44.7843
-30.6473,45.8616
-33.6271,45.4193
-32.5876,51.7708
-31.8752,51.5532
-32.5288,51.9641
-32.2263,52.0727
-32.2086,58.1284
-33.2667,56.6725
-33.8043,54.2227
-38.6199,54.6578
-34.8127,57.4749
-33.356,57.0921
-33.4258,56.8543
-35.0957,61.0948
-34.5414,58.8639
-32.6423,59.5599
-27.4782,55.1131
-27.5725,54.2032
-22.2235,50.0599
-22.0382,50.0681
-24.7333,48.8784
-25.3222,46.8149
-20.4386,47.0511
-26.9904,43.8598
-30.3542,45.7511
-33.7289,48.7792
-29.7312,51.0584
-31.2502,54.6993
-33.2585,56.3258
-33.3699,56.1597
-33.38,54.4825
-31.342,50.6503
-34.2325,53.6768
-39.3147,54.5558
-39.2463,54.5961
-41.0332,54.6386
-43.059,53.9897
-42.3538,54.323
-40.9697,55.5764
-44.1569,55.2324
-43.5688,55.4912
-34.2019,52.5254
-34.1659,52.5185
-33.12,49.4942
-29.9908,49.1937
-35.0998,52.5148
-40.1091,51.0906
-39.7955,46.2547
-39.7723,47.315
-39.7506,47.3119
-38.8987,43.4141
-39.5504,38.8318
-40.4641,40.5769
-41.6473,37.1042
-38.7601,39.7004
-44.0399,42.7525
-41.901,46.182
-38.9937,41.83
-35.7847,41.2746
-33.5331,41.2917
-35.9453,41.1817
-34.7049,39.2517
-34.4081,39.1661
-34.0301,38.6379
-34.0602,38.653
-35.6722,32.9558
-35.811,30.952
-36.8161,30.4779
-35.4721,28.9533
-37.4163,30.8213
-37.0995,29.8196
-36.1679,34.4585
-36.1999,33.91
-42.6808,30.4383
-44.3808,31.6001
-45.0764,29.6048
-42.3143,30.5797
-36.5839,29.3121
-35.2035,29.2996
-33.4979,30.6819
-31.2193,28.1107
-28.8476,24.779
-29.7193,25.3994
-31.7175,21.4261
-29.4674,22.6882
