i,j,u,v
0.6,1.1,nan,0.696113
0.6,1.2,-0.525237,0.537348
0.6,1.3,-0.130113,0.397669
0.6,1.4,-0.00212659,0.273573
0.6,1.5,0.0309887,0.162347
0.6,1.6,0.0203433,0.0618664
0.6,1.7,-0.0127399,-0.0295579
0.6,1.8,-0.0577726,-0.113278
0.6,1.9,-0.10908,-0.190389
0.6,2,-0.163404,-0.261786
0.6,2.1,-0.218808,-0.328206
0.6,2.2,-0.274117,-0.390263
0.6,2.3,-0.328613,-0.448469
0.6,2.4,-0.381869,-0.503258
0.7,-2.5,-0.613983,-0.74398
0.7,-2.4,-0.560988,-0.694843
0.7,-2.3,-0.505819,-0.642942
0.7,-2.2,-0.448479,-0.587952
0.7,-2.1,-0.389055,-0.529488
0.7,-2,-0.327764,-0.467092
0.7,-1.9,-0.265043,-0.400219
0.7,-1.8,-0.201685,-0.328206
0.7,-1.7,-0.139091,-0.25025
0.7,-1.6,-0.0797215,-0.165361
0.7,-1.5,-0.0279792,-0.0723072
0.7,-1.4,0.00789568,0.0304581
0.7,-1.3,0.0112461,0.144905
0.7,-1.2,-0.0564863,0.273573
0.7,-1.1,-0.311931,0.419783
0.7,-1,-1.57405,0.587949
0.7,-0.9,nan,0.784033
0.7,-0.8,nan,1.01626
0.7,0.8,nan,1.01626
0.7,0.9,nan,0.784033
0.7,1,-1.57405,0.587949
0.7,1.1,-0.311931,0.419783
0.7,1.2,-0.0564863,0.273573
0.7,1.3,0.0112461,0.144905
0.7,1.4,0.00789568,0.0304581
0.7,1.5,-0.0279792,-0.0723072
0.7,1.6,-0.0797215,-0.165361
0.7,1.7,-0.139091,-0.25025
0.7,1.8,-0.201685,-0.328206
0.7,1.9,-0.265043,-0.400219
0.7,2,-0.327764,-0.467092
0.7,2.1,-0.389055,-0.529488
0.7,2.2,-0.448479,-0.587952
0.7,2.3,-0.505819,-0.642942
0.7,2.4,-0.560988,-0.694843
0.8,-2.5,-0.771109,-0.900787
0.8,-2.4,-0.71801,-0.853442
0.8,-2.3,-0.66241,-0.803542
0.8,-2.2,-0.604185,-0.750791
0.8,-2.1,-0.543249,-0.694843
0.8,-2,-0.479571,-0.635284
0.8,-1.9,-0.413226,-0.571621
0.8,-1.8,-0.344474,-0.503258
0.8,-1.7,-0.273883,-0.429467
0.8,-1.6,-0.202574,-0.349349
0.8,-1.5,-0.13265,-0.261786
0.8,-1.4,-0.0680648,-0.165361
0.8,-1.3,-0.0164907,-0.0582618
0.8,-1.2,0.00611005,0.0618664
0.8,-1.1,-0.0380843,0.198134
0.8,-1,-0.265788,0.35472
0.8,-0.9,-1.52296,0.537348
0.8,-0.8,nan,0.75403
0.8,-0.7,nan,1.01626
0.8,-0.6,nan,1.34105
0.8,0.6,nan,1.34105
0.8,0.7,nan,1.01626
0.8,0.8,nan,0.75403
0.8,0.9,-1.52296,0.537348
0.8,1,-0.265788,0.35472
0.8,1.1,-0.0380843,0.198134
0.8,1.2,0.00611005,0.0618664
0.8,1.3,-0.0164907,-0.0582618
0.8,1.4,-0.0680648,-0.165361
0.8,1.5,-0.13265,-0.261786
0.8,1.6,-0.202574,-0.349349
0.8,1.7,-0.273883,-0.429467
0.8,1.8,-0.344474,-0.503258
0.8,1.9,-0.413226,-0.571621
0.8,2,-0.479571,-0.635284
0.8,2.1,-0.543249,-0.694843
0.8,2.2,-0.604185,-0.750791
0.8,2.3,-0.66241,-0.803542
0.8,2.4,-0.71801,-0.853442
0.9,-2.5,-0.909228,-1.03485
0.9,-2.4,-0.856483,-0.988782
0.9,-2.3,-0.801076,-0.940316
0.9,-2.2,-0.742818,-0.889176
0.9,-2.1,-0.681521,-0.835044
0.9,-2,-0.617016,-0.777543
0.9,-1.9,-0.549181,-0.716223
0.9,-1.8,-0.477979,-0.650537
0.9,-1.7,-0.403538,-0.579823
0.9,-1.6,-0.326288,-0.503258
0.9,-1.5,-0.247205,-0.419819
0.9,-1.4,-0.168293,-0.328206
0.9,-1.3,-0.093549,-0.226752
0.9,-1.2,-0.0311341,-0.113278
0.9,-1.1,0.00110293,0.0151135
0.9,-1,-0.0417846,0.162347
0.9,-0.9,-0.313895,0.333858
0.9,-0.8,-3.46123,0.537348
0.9,-0.7,nan,0.784033
0.9,-0.6,nan,1.09077
0.9,-0.5,nan,1.48391
0.9,0.5,nan,1.48391
0.9,0.6,nan,1.09077
0.9,0.7,nan,0.784033
0.9,0.8,-3.46123,0.537348
0.9,0.9,-0.313895,0.333858
0.9,1,-0.0417846,0.162347
0.9,1.1,0.00110293,0.0151135
0.9,1.2,-0.0311341,-0.113278
0.9,1.3,-0.093549,-0.226752
0.9,1.4,-0.168293,-0.328206
0.9,1.5,-0.247205,-0.419819
0.9,1.6,-0.326288,-0.503258
0.9,1.7,-0.403538,-0.579823
0.9,1.8,-0.477979,-0.650537
0.9,1.9,-0.549181,-0.716223
0.9,2,-0.617016,-0.777543
0.9,2.1,-0.681521,-0.835044
0.9,2.2,-0.742818,-0.889176
0.9,2.3,-0.801076,-0.940316
0.9,2.4,-0.856483,-0.988782
1,-2.5,-1.03193,-1.15201
1,-2.4,-0.979713,-1.10689
1,-2.3,-0.924767,-1.05948
1,-2.2,-0.866856,-1.00954
1,-2.1,-0.805737,-0.956754
1,-2,-0.741156,-0.900787
1,-1.9,-0.672872,-0.841217
1,-1.8,-0.600672,-0.777543
1,-1.7,-0.524425,-0.709151
1,-1.6,-0.444156,-0.635284
1,-1.5,-0.360209,-0.554997
1,-1.4,-0.273523,-0.467092
1,-1.3,-0.186218,-0.370029
1,-1.2,-0.102813,-0.261786
1,-1.1,-0.0330998,-0.139668
1,-1,0,4.44089e-16
1,-0.9,-0.0672688,0.162347
1,-0.8,-0.507819,0.35472
1,-0.7,nan,0.587949
1,-0.6,nan,0.87855
1,-0.5,nan,1.25276
1,-0.4,nan,1.75462
1,-0.3,nan,2.46464
1,-0.2,nan,3.55535
1,-0.1,nan,5.55102
1,0.1,nan,5.55102
1,0.2,nan,3.55535
1,0.3,nan,2.46464
1,0.4,nan,1.75462
1,0.5,nan,1.25276
1,0.6,nan,0.87855
1,0.7,nan,0.587949
1,0.8,-0.507819,0.35472
1,0.9,-0.0672688,0.162347
1,1,0,-3.33067e-15
1,1.1,-0.0330998,-0.139668
1,1.2,-0.102813,-0.261786
1,1.3,-0.186218,-0.370029
1,1.4,-0.273523,-0.467092
1,1.5,-0.360209,-0.554997
1,1.6,-0.444156,-0.635284
1,1.7,-0.524425,-0.709151
1,1.8,-0.600672,-0.777543
1,1.9,-0.672872,-0.841217
1,2,-0.741156,-0.900787
1,2.1,-0.805737,-0.956754
1,2.2,-0.866856,-1.00954
1,2.3,-0.924767,-1.05948
1,2.4,-0.979713,-1.10689
1.1,-2.5,-1.14202,-1.25615
1.1,-2.4,-1.0904,-1.21174
1.1,-2.3,-1.03602,-1.16514
1.1,-2.2,-0.978622,-1.11609
1.1,-2.1,-0.917933,-1.06434
1.1,-2,-0.853647,-1.00954
1.1,-1.9,-0.785447,-0.951307
1.1,-1.8,-0.713011,-0.889176
1.1,-1.7,-0.636041,-0.822572
1.1,-1.6,-0.554313,-0.750791
1.1,-1.5,-0.467774,-0.672956
1.1,-1.4,-0.376726,-0.587952
1.1,-1.3,-0.28219,-0.494347
1.1,-1.2,-0.186674,-0.390263
1.1,-1.1,-0.0958823,-0.273183
1.1,-1,-0.0230419,-0.139668
1.1,-0.9,-0.00203737,0.0151135
1.1,-0.8,-0.143355,0.198134
1.1,-0.7,-1.27,0.419783
1.1,-0.6,nan,0.696113
1.1,-0.5,nan,1.05301
1.1,-0.4,nan,1.53458
1.1,-0.3,nan,2.22239
1.1,-0.2,nan,3.29167
1.1,-0.1,nan,5.27119
1.1,0.1,nan,5.27119
1.1,0.2,nan,3.29167
1.1,0.3,nan,2.22239
1.1,0.4,nan,1.53458
1.1,0.5,nan,1.05301
1.1,0.6,nan,0.696113
1.1,0.7,-1.27,0.419783
1.1,0.8,-0.143355,0.198134
1.1,0.9,-0.00203737,0.0151135
1.1,1,-0.0230419,-0.139668
1.1,1.1,-0.0958823,-0.273183
1.1,1.2,-0.186674,-0.390263
1.1,1.3,-0.28219,-0.494347
1.1,1.4,-0.376726,-0.587952
1.1,1.5,-0.467774,-0.672956
1.1,1.6,-0.554313,-0.750791
1.1,1.7,-0.636041,-0.822572
1.1,1.8,-0.713011,-0.889176
1.1,1.9,-0.785447,-0.951307
1.1,2,-0.853647,-1.00954
1.1,2.1,-0.917933,-1.06434
1.1,2.2,-0.978622,-1.11609
1.1,2.3,-1.03602,-1.16514
1.1,2.4,-1.0904,-1.21174
1.2,-2.5,-1.24171,-1.34993
1.2,-2.4,-1.19068,-1.30607
1.2,-2.3,-1.13688,-1.26008
1.2,-2.2,-1.08006,-1.21174
1.2,-2.1,-1.01992,-1.16078
1.2,-2,-0.956108,-1.10689
1.2,-1.9,-0.888269,-1.04971
1.2,-1.8,-0.816006,-0.988782
1.2,-1.7,-0.738914,-0.923581
1.2,-1.6,-0.656604,-0.853442
1.2,-1.5,-0.568764,-0.777543
1.2,-1.4,-0.475281,-0.694843
1.2,-1.3,-0.37648,-0.604
1.2,-1.2,-0.273633,-0.503258
1.2,-1.1,-0.170068,-0.390263
1.2,-1,-0.0738409,-0.261786
1.2,-0.9,-0.00518678,-0.113278
1.2,-0.8,-0.022979,0.0618664
1.2,-0.7,-0.384048,0.273573
1.2,-0.6,nan,0.537348
1.2,-0.5,nan,0.87855
1.2,-0.4,nan,1.34105
1.2,-0.3,nan,2.0071
1.2,-0.2,nan,3.05445
1.2,-0.1,nan,5.01679
1.2,0.1,nan,5.01679
1.2,0.2,nan,3.05445
1.2,0.3,nan,2.0071
1.2,0.4,nan,1.34105
1.2,0.5,nan,0.87855
1.2,0.6,nan,0.537348
1.2,0.7,-0.384048,0.273573
1.2,0.8,-0.022979,0.0618664
1.2,0.9,-0.00518678,-0.113278
1.2,1,-0.0738409,-0.261786
1.2,1.1,-0.170068,-0.390263
1.2,1.2,-0.273633,-0.503258
1.2,1.3,-0.37648,-0.604
1.2,1.4,-0.475281,-0.694843
1.2,1.5,-0.568764,-0.777543
1.2,1.6,-0.656604,-0.853442
1.2,1.7,-0.738914,-0.923581
1.2,1.8,-0.816006,-0.988782
1.2,1.9,-0.888269,-1.04971
1.2,2,-0.956108,-1.10689
1.2,2.1,-1.01992,-1.16078
1.2,2.2,-1.08006,-1.21174
1.2,2.3,-1.13688,-1.26008
1.2,2.4,-1.19068,-1.30607
1.3,-2.5,-1.3327,-1.43527
1.3,-2.4,-1.28222,-1.39185
1.3,-2.3,-1.22901,-1.34635
1.3,-2.2,-1.17277,-1.29856
1.3,-2.1,-1.11321,-1.24823
1.3,-2,-1.04996,-1.19506
1.3,-1.9,-0.982617,-1.1387
1.3,-1.8,-0.91075,-1.07874
1.3,-1.7,-0.833876,-1.01465
1.3,-1.6,-0.751494,-0.945828
1.3,-1.5,-0.663116,-0.871481
1.3,-1.4,-0.568346,-0.790634
1.3,-1.3,-0.467043,-0.702024
1.3,-1.2,-0.359664,-0.604
1.3,-1.1,-0.248024,-0.494347
1.3,-1,-0.137074,-0.370029
1.3,-0.9,-0.0396027,-0.226752
1.3,-0.8,0.008757,-0.0582618
1.3,-0.7,-0.119516,0.144905
1.3,-0.6,-1.79627,0.397669
1.3,-0.5,nan,0.724732
1.3,-0.4,nan,1.16947
1.3,-0.3,nan,1.81443
1.3,-0.2,nan,2.83958
1.3,-0.1,nan,4.78382
1.3,0.1,nan,4.78382
1.3,0.2,nan,2.83958
1.3,0.3,nan,1.81443
1.3,0.4,nan,1.16947
1.3,0.5,nan,0.724732
1.3,0.6,-1.79627,0.397669
1.3,0.7,-0.119516,0.144905
1.3,0.8,0.008757,-0.0582618
1.3,0.9,-0.0396027,-0.226752
1.3,1,-0.137074,-0.370029
1.3,1.1,-0.248024,-0.494347
1.3,1.2,-0.359664,-0.604
1.3,1.3,-0.467043,-0.702024
1.3,1.4,-0.568346,-0.790634
1.3,1.5,-0.663116,-0.871481
1.3,1.6,-0.751494,-0.945828
1.3,1.7,-0.833876,-1.01465
1.3,1.8,-0.91075,-1.07874
1.3,1.9,-0.982617,-1.1387
1.3,2,-1.04996,-1.19506
1.3,2.1,-1.11321,-1.24823
1.3,2.2,-1.17277,-1.29856
1.3,2.3,-1.22901,-1.34635
1.3,2.4,-1.28222,-1.39185
1.4,-2.5,-1.41631,-1.5136
1.4,-2.4,-1.36636,-1.47052
1.4,-2.3,-1.3137,-1.42542
1.4,-2.2,-1.25804,-1.37808
1.4,-2.1,-1.19906,-1.32825
1.4,-2,-1.13639,-1.27566
1.4,-1.9,-1.06961,-1.21997
1.4,-1.8,-0.998256,-1.16078
1.4,-1.7,-0.921791,-1.0976
1.4,-1.6,-0.839638,-1.02984
1.4,-1.5,-0.751185,-0.956754
1.4,-1.4,-0.655839,-0.877417
1.4,-1.3,-0.553131,-0.790634
1.4,-1.2,-0.442954,-0.694843
1.4,-1.1,-0.326099,-0.587952
1.4,-1,-0.205495,-0.467092
1.4,-0.9,-0.0893885,-0.328206
1.4,-0.8,-0.000841373,-0.165361
1.4,-0.7,-0.0151876,0.0304581
1.4,-0.6,-0.552505,0.273573
1.4,-0.5,nan,0.587949
1.4,-0.4,nan,1.01626
1.4,-0.3,nan,1.64095
1.4,-0.2,nan,2.64384
1.4,-0.1,nan,4.56918
1.4,0.1,nan,4.56918
1.4,0.2,nan,2.64384
1.4,0.3,nan,1.64095
1.4,0.4,nan,1.01626
1.4,0.5,nan,0.587949
1.4,0.6,-0.552505,0.273573
1.4,0.7,-0.0151876,0.0304581
1.4,0.8,-0.000841373,-0.165361
1.4,0.9,-0.0893885,-0.328206
1.4,1,-0.205495,-0.467092
1.4,1.1,-0.326099,-0.587952
1.4,1.2,-0.442954,-0.694843
1.4,1.3,-0.553131,-0.790634
1.4,1.4,-0.655839,-0.877417
1.4,1.5,-0.751185,-0.956754
1.4,1.6,-0.839638,-1.02984
1.4,1.7,-0.921791,-1.0976
1.4,1.8,-0.998256,-1.16078
1.4,1.9,-1.06961,-1.21997
1.4,2,-1.13639,-1.27566
1.4,2.1,-1.19906,-1.32825
1.4,2.2,-1.25804,-1.37808
1.4,2.3,-1.3137,-1.42542
1.4,2.4,-1.36636,-1.47052
1.5,-2.5,-1.49363,-1.58601
1.5,-2.4,-1.44416,-1.54322
1.5,-2.3,-1.39201,-1.49844
1.5,-2.2,-1.3369,-1.45145
1.5,-2.1,-1.27848,-1.40204
1.5,-2,-1.2164,-1.34993
1.5,-1.9,-1.1502,-1.29478
1.5,-1.8,-1.07941,-1.23622
1.5,-1.7,-1.00346,-1.17378
1.5,-1.6,-0.921715,-1.10689
1.5,-1.5,-0.833473,-1.03485
1.5,-1.4,-0.738,-0.956754
1.5,-1.3,-0.63459,-0.871481
1.5,-1.2,-0.522734,-0.777543
1.5,-1.1,-0.402497,-0.672956
1.5,-1,-0.275412,-0.554997
1.5,-0.9,-0.146734,-0.419819
1.5,-0.8,-0.0318981,-0.261786
1.5,-0.7,0.0203863,-0.0723072
1.5,-0.6,-0.205449,0.162347
1.5,-0.5,nan,0.465363
1.5,-0.4,nan,0.87855
1.5,-0.3,nan,1.48391
1.5,-0.2,nan,2.46464
1.5,-0.1,nan,4.37039
1.5,0.1,nan,4.37039
1.5,0.2,nan,2.46464
1.5,0.3,nan,1.48391
1.5,0.4,nan,0.87855
1.5,0.5,nan,0.465363
1.5,0.6,-0.205449,0.162347
1.5,0.7,0.0203863,-0.0723072
1.5,0.8,-0.0318981,-0.261786
1.5,0.9,-0.146734,-0.419819
1.5,1,-0.275412,-0.554997
1.5,1.1,-0.402497,-0.672956
1.5,1.2,-0.522734,-0.777543
1.5,1.3,-0.63459,-0.871481
1.5,1.4,-0.738,-0.956754
1.5,1.5,-0.833473,-1.03485
1.5,1.6,-0.921715,-1.10689
1.5,1.7,-1.00346,-1.17378
1.5,1.8,-1.07941,-1.23622
1.5,1.9,-1.1502,-1.29478
1.5,2,-1.2164,-1.34993
1.5,2.1,-1.27848,-1.40204
1.5,2.2,-1.3369,-1.45145
1.5,2.3,-1.39201,-1.49844
1.5,2.4,-1.44416,-1.54322
1.6,-2.5,-1.5655,-1.65336
1.6,-2.4,-1.51648,-1.6108
1.6,-2.3,-1.46481,-1.56628
1.6,-2.2,-1.4102,-1.5196
1.6,-2.1,-1.35233,-1.47052
1.6,-2,-1.29081,-1.4188
1.6,-1.9,-1.2252,-1.36411
1.6,-1.8,-1.15499,-1.30607
1.6,-1.7,-1.0796,-1.24424
1.6,-1.6,-0.998365,-1.17808
1.6,-1.5,-0.910508,-1.10689
1.6,-1.4,-0.815195,-1.02984
1.6,-1.3,-0.711545,-0.945828
1.6,-1.2,-0.598752,-0.853442
1.6,-1.1,-0.47635,-0.750791
1.6,-1,-0.344869,-0.635284
1.6,-0.9,-0.207481,-0.503258
1.6,-0.8,-0.07461,-0.349349
1.6,-0.7,0.0205984,-0.165361
1.6,-0.6,-0.0529395,0.0618664
1.6,-0.5,-2.23099,0.35472
1.6,-0.4,nan,0.75403
1.6,-0.3,nan,1.34105
1.6,-0.2,nan,2.2999
1.6,-0.1,nan,4.18544
1.6,0.1,nan,4.18544
1.6,0.2,nan,2.2999
1.6,0.3,nan,1.34105
1.6,0.4,nan,0.75403
1.6,0.5,-2.23099,0.35472
1.6,0.6,-0.0529395,0.0618664
1.6,0.7,0.0205984,-0.165361
1.6,0.8,-0.07461,-0.349349
1.6,0.9,-0.207481,-0.503258
1.6,1,-0.344869,-0.635284
1.6,1.1,-0.47635,-0.750791
1.6,1.2,-0.598752,-0.853442
1.6,1.3,-0.711545,-0.945828
1.6,1.4,-0.815195,-1.02984
1.6,1.5,-0.910508,-1.10689
1.6,1.6,-0.998365,-1.17808
1.6,1.7,-1.0796,-1.24424
1.6,1.8,-1.15499,-1.30607
1.6,1.9,-1.2252,-1.36411
1.6,2,-1.29081,-1.4188
1.6,2.1,-1.35233,-1.47052
1.6,2.2,-1.4102,-1.5196
1.6,2.3,-1.46481,-1.56628
1.6,2.4,-1.51648,-1.6108
1.7,-2.5,-1.63262,-1.71631
1.7,-2.4,-1.58402,-1.67395
1.7,-2.3,-1.53279,-1.62965
1.7,-2.2,-1.47866,-1.58322
1.7,-2.1,-1.42129,-1.53443
1.7,-2,-1.36031,-1.48303
1.7,-1.9,-1.29526,-1.42871
1.7,-1.8,-1.22564,-1.37112
1.7,-1.7,-1.15084,-1.3098
1.7,-1.6,-1.07016,-1.24424
1.7,-1.5,-0.982796,-1.17378
1.7,-1.4,-0.887826,-1.0976
1.7,-1.3,-0.784242,-1.01465
1.7,-1.2,-0.671015,-0.923581
1.7,-1.1,-0.54728,-0.822572
1.7,-1,-0.412823,-0.709151
1.7,-0.9,-0.269302,-0.579823
1.7,-0.8,-0.123659,-0.429467
1.7,-0.7,0.000922844,-0.25025
1.7,-0.6,0.017377,-0.0295579
1.7,-0.5,-0.709212,0.254205
1.7,-0.4,nan,0.640814
1.7,-0.3,nan,1.21052
1.7,-0.2,nan,2.14787
1.7,-0.1,nan,4.01272
1.7,0.1,nan,4.01272
1.7,0.2,nan,2.14787
1.7,0.3,nan,1.21052
1.7,0.4,nan,0.640814
1.7,0.5,-0.709212,0.254205
1.7,0.6,0.017377,-0.0295579
1.7,0.7,0.000922844,-0.25025
1.7,0.8,-0.123659,-0.429467
1.7,0.9,-0.269302,-0.579823
1.7,1,-0.412823,-0.709151
1.7,1.1,-0.54728,-0.822572
1.7,1.2,-0.671015,-0.923581
1.7,1.3,-0.784242,-1.01465
1.7,1.4,-0.887826,-1.0976
1.7,1.5,-0.982796,-1.17378
1.7,1.6,-1.07016,-1.24424
1.7,1.7,-1.15084,-1.3098
1.7,1.8,-1.22564,-1.37112
1.7,1.9,-1.29526,-1.42871
1.7,2,-1.36031,-1.48303
1.7,2.1,-1.42129,-1.53443
1.7,2.2,-1.47866,-1.58322
1.7,2.3,-1.53279,-1.62965
1.7,2.4,-1.58402,-1.67395
1.8,-2.5,-1.69558,-1.77543
1.8,-2.4,-1.64735,-1.73323
1.8,-2.3,-1.59653,-1.68912
1.8,-2.2,-1.54284,-1.64289
1.8,-2.1,-1.48595,-1.59435
1.8,-2,-1.42548,-1.54322
1.8,-1.9,-1.36097,-1.48922
1.8,-1.8,-1.29192,-1.432
1.8,-1.7,-1.21771,-1.37112
1.8,-1.6,-1.13761,-1.30607
1.8,-1.5,-1.0508,-1.23622
1.8,-1.4,-0.95629,-1.16078
1.8,-1.3,-0.852976,-1.07874
1.8,-1.2,-0.739659,-0.988782
1.8,-1.1,-0.615171,-0.889176
1.8,-1,-0.478729,-0.777543
1.8,-0.9,-0.33086,-0.650537
1.8,-0.8,-0.175977,-0.503258
1.8,-0.7,-0.0304617,-0.328206
1.8,-0.6,0.0447714,-0.113278
1.8,-0.5,-0.298563,0.162347
1.8,-0.4,nan,0.537348
1.8,-0.3,nan,1.09077
1.8,-0.2,nan,2.0071
1.8,-0.1,nan,3.85086
1.8,0.1,nan,3.85086
1.8,0.2,nan,2.0071
1.8,0.3,nan,1.09077
1.8,0.4,nan,0.537348
1.8,0.5,-0.298563,0.162347
1.8,0.6,0.0447714,-0.113278
1.8,0.7,-0.0304617,-0.328206
1.8,0.8,-0.175977,-0.503258
1.8,0.9,-0.33086,-0.650537
1.8,1,-0.478729,-0.777543
1.8,1.1,-0.615171,-0.889176
1.8,1.2,-0.739659,-0.988782
1.8,1.3,-0.852976,-1.07874
1.8,1.4,-0.95629,-1.16078
1.8,1.5,-1.0508,-1.23622
1.8,1.6,-1.13761,-1.30607
1.8,1.7,-1.21771,-1.37112
1.8,1.8,-1.29192,-1.432
1.8,1.9,-1.36097,-1.48922
1.8,2,-1.42548,-1.54322
1.8,2.1,-1.48595,-1.59435
1.8,2.2,-1.54284,-1.64289
1.8,2.3,-1.59653,-1.68912
1.8,2.4,-1.64735,-1.73323
1.9,-2.5,-1.75484,-1.83116
1.9,-2.4,-1.70696,-1.7891
1.9,-2.3,-1.65652,-1.74514
1.9,-2.2,-1.60324,-1.6991
1.9,-2.1,-1.54679,-1.65075
1.9,-2,-1.4868,-1.59986
1.9,-1.9,-1.42281,-1.54613
1.9,-1.8,-1.35431,-1.48922
1.9,-1.7,-1.28067,-1.42871
1.9,-1.6,-1.20117,-1.36411
1.9,-1.5,-1.11494,-1.29478
1.9,-1.4,-1.02096,-1.21997
1.9,-1.3,-0.918049,-1.1387
1.9,-1.2,-0.80488,-1.04971
1.9,-1.1,-0.680049,-0.951307
1.9,-1,-0.542331,-0.841217
1.9,-0.9,-0.391384,-0.716223
1.9,-0.8,-0.229723,-0.571621
1.9,-0.7,-0.0688585,-0.400219
1.9,-0.6,0.0472382,-0.190389
1.9,-0.5,-0.10369,0.0779433
1.9,-0.4,nan,0.442343
1.9,-0.3,nan,0.980479
1.9,-0.2,nan,1.87637
1.9,-0.1,nan,3.69873
1.9,0.1,nan,3.69873
1.9,0.2,nan,1.87637
1.9,0.3,nan,0.980479
1.9,0.4,nan,0.442343
1.9,0.5,-0.10369,0.0779433
1.9,0.6,0.0472382,-0.190389
1.9,0.7,-0.0688585,-0.400219
1.9,0.8,-0.229723,-0.571621
1.9,0.9,-0.391384,-0.716223
1.9,1,-0.542331,-0.841217
1.9,1.1,-0.680049,-0.951307
1.9,1.2,-0.80488,-1.04971
1.9,1.3,-0.918049,-1.1387
1.9,1.4,-1.02096,-1.21997
1.9,1.5,-1.11494,-1.29478
1.9,1.6,-1.20117,-1.36411
1.9,1.7,-1.28067,-1.42871
1.9,1.8,-1.35431,-1.48922
1.9,1.9,-1.42281,-1.54613
1.9,2,-1.4868,-1.59986
1.9,2.1,-1.54679,-1.65075
1.9,2.2,-1.60324,-1.6991
1.9,2.3,-1.65652,-1.74514
1.9,2.4,-1.70696,-1.7891
2,-2.5,-1.81082,-1.88387
2,-2.4,-1.76326,-1.84193
2,-2.3,-1.71317,-1.79811
2,-2.2,-1.66026,-1.75222
2,-2.1,-1.60423,-1.70405
2,-2,-1.54469,-1.65336
2,-1.9,-1.48119,-1.59986
2,-1.8,-1.41321,-1.54322
2,-1.7,-1.34013,-1.48303
2,-1.6,-1.26121,-1.4188
2,-1.5,-1.17557,-1.34993
2,-1.4,-1.08217,-1.27566
2,-1.3,-0.979752,-1.19506
2,-1.2,-0.866897,-1.10689
2,-1.1,-0.742015,-1.00954
2,-1,-0.603535,-0.900787
2,-0.9,-0.450433,-0.777543
2,-0.8,-0.283763,-0.635284
2,-0.7,-0.111415,-0.467092
2,-0.6,0.0343194,-0.261786
2,-0.5,-1.77636e-15,1.9984e-15
2,-0.4,nan,0.35472
2,-0.3,nan,0.87855
2,-0.2,nan,1.75462
2,-0.1,nan,3.55535
2,0.1,nan,3.55535
2,0.2,nan,1.75462
2,0.3,nan,0.87855
2,0.4,nan,0.35472
2,0.5,4.44089e-15,-4.66294e-15
2,0.6,0.0343194,-0.261786
2,0.7,-0.111415,-0.467092
2,0.8,-0.283763,-0.635284
2,0.9,-0.450433,-0.777543
2,1,-0.603535,-0.900787
2,1.1,-0.742015,-1.00954
2,1.2,-0.866897,-1.10689
2,1.3,-0.979752,-1.19506
2,1.4,-1.08217,-1.27566
2,1.5,-1.17557,-1.34993
2,1.6,-1.26121,-1.4188
2,1.7,-1.34013,-1.48303
2,1.8,-1.41321,-1.54322
2,1.9,-1.48119,-1.59986
2,2,-1.54469,-1.65336
2,2.1,-1.60423,-1.70405
2,2.2,-1.66026,-1.75222
2,2.3,-1.71317,-1.79811
2,2.4,-1.76326,-1.84193
2.1,-2.5,-1.86385,-1.93389
2.1,-2.4,-1.81658,-1.89205
2.1,-2.3,-1.76681,-1.84834
2.1,-2.2,-1.71426,-1.80258
2.1,-2.1,-1.65861,-1.75456
2.1,-2,-1.59949,-1.70405
2.1,-1.9,-1.53645,-1.65075
2.1,-1.8,-1.46897,-1.59435
2.1,-1.7,-1.39643,-1.53443
2.1,-1.6,-1.31808,-1.47052
2.1,-1.5,-1.23304,-1.40204
2.1,-1.4,-1.14022,-1.32825
2.1,-1.3,-1.03836,-1.24823
2.1,-1.2,-0.925932,-1.16078
2.1,-1.1,-0.801208,-1.06434
2.1,-1,-0.662343,-0.956754
2.1,-0.9,-0.50777,-0.835044
2.1,-0.8,-0.337393,-0.694843
2.1,-0.7,-0.156328,-0.529488
2.1,-0.6,0.011561,-0.328206
2.1,-0.5,0.0551846,-0.0723072
2.1,-0.4,-1.58021,0.273573
2.1,-0.3,nan,0.784033
2.1,-0.2,nan,1.64095
2.1,-0.1,nan,3.4199
2.1,0.1,nan,3.4199
2.1,0.2,nan,1.64095
2.1,0.3,nan,0.784033
2.1,0.4,-1.58021,0.273573
2.1,0.5,0.0551846,-0.0723072
2.1,0.6,0.011561,-0.328206
2.1,0.7,-0.156328,-0.529488
2.1,0.8,-0.337393,-0.694843
2.1,0.9,-0.50777,-0.835044
2.1,1,-0.662343,-0.956754
2.1,1.1,-0.801208,-1.06434
2.1,1.2,-0.925932,-1.16078
2.1,1.3,-1.03836,-1.24823
2.1,1.4,-1.14022,-1.32825
2.1,1.5,-1.23304,-1.40204
2.1,1.6,-1.31808,-1.47052
2.1,1.7,-1.39643,-1.53443
2.1,1.8,-1.46897,-1.59435
2.1,1.9,-1.53645,-1.65075
2.1,2,-1.59949,-1.70405
2.1,2.1,-1.65861,-1.75456
2.1,2.2,-1.71426,-1.80258
2.1,2.3,-1.76681,-1.84834
2.1,2.4,-1.81658,-1.89205
2.2,-2.5,-1.91423,-1.98147
2.2,-2.4,-1.86723,-1.93972
2.2,-2.3,-1.81776,-1.89611
2.2,-2.2,-1.76553,-1.85047
2.2,-2.1,-1.71025,-1.80258
2.2,-2,-1.65152,-1.75222
