12/1/15,473
1/1/16,1933
2/1/16,1987
3/1/16,1560
4/1/16,2034
5/1/16,3226
6/1/16,9210
7/1/16,2382
8/1/16,2783
9/1/16,2846
10/1/16,2170
11/1/16,4094
12/1/16,2736
1/1/17,3269
2/1/17,3338
3/1/17,3239
4/1/17,3671
5/1/17,3088
6/1/17,1126
7/1/17,764
8/1/17,2793
9/1/17,2879
10/1/17,3550
11/1/17,2771
12/1/17,2222
1/1/18,2781
2/1/18,3206
3/1/18,3584
4/1/18,2862
5/1/18,2341
6/1/18,1432
7/1/18,5575
8/1/18,3745
9/1/18,2733
10/1/18,3107
11/1/18,3240
12/1/18,3154
1/1/19,3650
2/1/19,4235
3/1/19,4025
4/1/19,3493
5/1/19,2884
6/1/19,6233
7/1/19,7955
8/1/19,3729
9/1/19,4058
10/1/19,4585
11/1/19,3987
12/1/19,2476
1/1/20,3021
2/1/20,3239
3/1/20,2217
4/1/20,5596
5/1/20,4045
6/1/20,730
7/1/20,1571
8/1/20,3217
9/1/20,3665
10/1/20,3793
11/1/20,3927
12/1/20,2792
1/1/21,6397
2/1/21,4262
3/1/21,4751
4/1/21,3428
5/1/21,3478
6/1/21,10905
7/1/21,10364
8/1/21,10244
9/1/21,10358
10/1/21,10662
11/1/21,12819
12/1/21,8091
1/1/22,6866
2/1/22,12962
3/1/22,14214
4/1/22,11952
5/1/22,7541
6/1/22,15299
7/1/22,13894
8/1/22,13890
9/1/22,13585
10/1/22,11723
11/1/22,15206
12/1/22,11448
1/1/23,10658
2/1/23,12436
3/1/23,15874
4/1/23,16528
5/1/23,13710
6/1/23,16298
7/1/23,15163
8/1/23,16914
9/1/23,15045
10/1/23,12843
11/1/23,13378
12/1/23,8918
